name,latitude,longitude,category,destination,description,products,priceFromVnd,available,starRating,url,imageUrl,locationSource,locationPrecision,warning,googleMapsUrl,placeKey
I Hostel Muine - A Little White Homestay By The Sea,10.954058,108.240864,Khách sạn 1★,Phan Thiết,"3 hạng phòng · từ 288.000₫/đêm · 188 Nguyễn Đình Chiểu, Mũi Né, Việt Nam",4,288000,true,1,https://www.booking.com/hotel/vn/quoc-thang-homestay.vi.html,https://cf.bstatic.com/xdata/images/hotel/max1024x768/488636508.jpg?k=cedfe950d31ce6884e2a6ce7cc86a334b0ccb170c09f4069f90882f6026f05b8&o=&hp=1,booking.com,exact,,https://www.google.com/maps/search/?api=1&query=10.954058%2C108.240864,hotel:a3195e41-d86e-529f-b5f3-1064dd0bf9c6
iHome Backpacker Resort,10.953343,108.241773,Khách sạn,Phan Thiết,"2 hạng phòng · từ 220.000₫/đêm · KP 2, Hoa Binh Street, Ham Tien , Mũi Né, Việt Nam",3,220000,true,,https://www.booking.com/hotel/vn/ihome-backpacker-resort.vi.html,https://cf.bstatic.com/xdata/images/hotel/max1024x768/572015390.jpg?k=655f1960a4fdf577ab7b6753ea848b072d7c88ef413183a5528ed919ffe6308b&o=&hp=1,booking.com,exact,,https://www.google.com/maps/search/?api=1&query=10.953343%2C108.241773,hotel:bdb6ad84-b2b3-5100-95ff-2fc3af9a26e7
Khách sạn 1991 Boutique Phan Thiết (1991 Boutique Hotel Phan Thiết),10.940728,108.113411,Khách sạn 2★,Phan Thiết,"khách sạn · từ 354.938₫/đêm · 307 Võ Văn Kiệt, Phú Thủy, Phan Thiết",1,354938,true,2,https://www.agoda.com/vi-vn/1991-boutique-hotel-phan-thi-t/hotel/phan-thiet-vn.html,https://pix6.agoda.net/hotelImages/50121979/0/904a91ef7260e8207f6eeeef5ddb5179.jpg?va=1&ce=0&s=1024x768,agoda.com,exact,,https://www.google.com/maps/search/?api=1&query=10.940728%2C108.113411,hotel:b3ac284a-f7ba-5061-afed-6e4fad0eb4ea
Khách sạn 1991 Phan Thiết (1991 Hotel Phan Thiết),10.940341,108.11197,Khách sạn 2★,Phan Thiết,"khách sạn · từ 212.348₫/đêm · 24 Nguyên Hồng,Phan Thiết, Phú Thủy, Phan Thiết",1,212348,true,2,https://www.agoda.com/vi-vn/1991-hotel-phan-thi-t/hotel/phan-thiet-vn.html,https://pix8.agoda.net/hotelImages/50121906/0/0beec55df43e74a41bccc1db4e175956.jpg?va=1&ce=0&s=1024x768,agoda.com,exact,,https://www.google.com/maps/search/?api=1&query=10.940341%2C108.111970,hotel:dcd0e7dc-49e8-5a26-9d7b-360ce6359205
Khách sạn boutique Palette Mũi Né (Palette Muine Boutique Hotel Near Mui Ne Beach),10.942609,108.192139,Khách sạn 3★,Phan Thiết,"khách sạn · từ 988.591₫/đêm · 25B Nguyễn Đình Chiểu, Phường Hàm Tiến, Mũi Né, Phan Thiết",1,988591,true,3,https://www.agoda.com/vi-vn/muine-boutique/hotel/phan-thiet-vn.html,https://pix8.agoda.net/hotelImages/253958/0/0dce4d0f0c3e1caac23a47e42c592889.jpg?va=1&ce=3&s=1024x768,agoda.com,exact,,https://www.google.com/maps/search/?api=1&query=10.942609%2C108.192139,hotel:de38ed33-2a68-57f3-93a0-7a84f63586c1
Khách sạn boutique Rubens (RUBENS BOUTIQUE HOTEL),10.930202,108.119614,Khách sạn 3★,Phan Thiết,"khách sạn · từ 661.270₫/đêm · D3 -32A Ocean City Urban Area, Phu Thuy Ward, Phan Thiet City, Binh Thuan, Vietnam, Phú Thủy, Phan Thiết",1,661270,true,3,https://www.agoda.com/vi-vn/rubens-boutique-hotel/hotel/phan-thiet-vn.html,https://pix6.agoda.net/hotelImages/37871271/-1/95afe99dc39499b0afb27618eb7b2066.jpg?va=1&ce=0&s=1024x768,agoda.com,exact,,https://www.google.com/maps/search/?api=1&query=10.930202%2C108.119614,hotel:28633865-e364-5c66-b556-4ef95dd6dbb8
Khu Nghỉ Dưỡng Pandanus (Pandanus Resort),10.944879,108.300122,Khách sạn 4.5★,Phan Thiết,"khách sạn · từ 1.805.556₫/đêm · 3 Nguyễn Hữu Thọ, Mũi N, Mũi Né, Phan Thiết",1,1805556,true,4.5,https://www.agoda.com/vi-vn/pandanus-resort_19/hotel/phan-thiet-vn.html,https://pix6.agoda.net/hotelImages/48362/0/4fca5f32e2aaf7b3bd46708a3b4ac9b5.jpg?va=1&ce=3&s=1024x768,agoda.com,exact,,https://www.google.com/maps/search/?api=1&query=10.944879%2C108.300122,hotel:db5744ab-5e58-5ffc-af5b-1ddf09e25750
Khu Nghỉ Dưỡng Sailing Club Mũi Né (Sailing Club Resort Mui Ne),10.944294,108.19606,Khách sạn 4★,Phan Thiết,"khách sạn · từ 3.895.944₫/đêm · 24 Nguyen Dinh Chieu, Ham Tien, Mui Ne, Mũi Né, Phan Thiết",1,3895944,true,4,https://www.agoda.com/vi-vn/mia-mui-ne-resort/hotel/phan-thiet-vn.html,https://pix6.agoda.net/hotelImages/337919/0/55282573df38cb5842f7f143821c7e9d.jpg?va=1&ce=3&s=1024x768,agoda.com,exact,,https://www.google.com/maps/search/?api=1&query=10.944294%2C108.196060,hotel:fdde474c-d6bf-5bb2-9b22-fd051193e4cc
Khu nghỉ dưỡng Sea Lion Beach Mũi Né (Sea Lion Beach Resort Mui Ne),10.94036,108.190346,Khách sạn 4★,Phan Thiết,"khách sạn · từ 947.718₫/đêm · 12 Nguyễn Đình Chiểu, Hàm Tiến, Mũi Né, Mũi Né, Phan Thiết",1,947718,true,4,https://www.agoda.com/vi-vn/sea-lion-beach-resort-spa-h27937846/hotel/phan-thiet-vn.html,https://pix8.agoda.net/hotelImages/33601471/0/7a688cf925736350577995b33ae88c33.jpg?va=1&ce=3&s=1024x768,agoda.com,exact,,https://www.google.com/maps/search/?api=1&query=10.940360%2C108.190346,hotel:bc3e15e6-26fe-55a7-813a-1bf57c31d573
Khu nghỉ dưỡng Sunday Lotus Garden By The Sea Mũi Né (Sunday Lotus Garden Resort By The Sea Mui Ne),10.9545,108.242554,Khách sạn 3★,Phan Thiết,"khách sạn · từ 1.235.738₫/đêm · 200 Nguyễn đình Chiểu, phường Hàm Tiến, Phan Thiết, Bình Thuận, Mũi Né, Phan Thiết",1,1235738,true,3,https://www.agoda.com/vi-vn/sunday-lotus-garden-resort-mui-ne-h9757906/hotel/phan-thiet-vn.html,https://pix8.agoda.net/hotelImages/9757906/0/668dedc85eebe80f90eabcc9d8cd643e.jpg?va=1&ce=3&s=1024x768,agoda.com,exact,,https://www.google.com/maps/search/?api=1&query=10.954500%2C108.242554,hotel:19cc0536-7ee9-57bd-97ab-83fa428c94f7
