issues,name,taxonomy,level,destination,sourceRef,url,descriptionLang,unitPrice,latitude,longitude
không có ảnh: dùng logo hãng bay,Vé máy bay Hải Phòng - Đà Lạt,flight,route,Đà Lạt,trip:route:hph-dli,https://vn.trip.com/flights/haiphong-to-dalat/airfares-hph-dli/,vi,1112000,11.750556,108.366997
không có ảnh: dùng logo hãng bay,Vé máy bay Nghệ An - TP. Hồ Chí Minh,flight,route,TP. Hồ Chí Minh,trip:route:vii-sgn,https://vn.trip.com/flights/vinh-city-to-ho-chi-minh-city/airfares-vii-sgn/,vi,845000,10.8188,106.652
không có ảnh: dùng logo hãng bay,Vé máy bay Nghệ An - Hà Nội,flight,route,Hà Nội,trip:route:vii-han,https://vn.trip.com/flights/vinh-city-to-hanoi/airfares-vii-han/,vi,1007000,21.221201,105.806999
không có ảnh: dùng logo hãng bay,Vé máy bay Nghệ An - Nha Trang,flight,route,Nha Trang,trip:route:vii-nha,https://vn.trip.com/flights/vinh-city-to-nha-trang/airfares-vii-nha/,vi,1588000,11.9982,109.219002
không có ảnh: dùng logo hãng bay,Vé máy bay Nghệ An - Đà Lạt,flight,route,Đà Lạt,trip:route:vii-dli,https://vn.trip.com/flights/vinh-city-to-dalat/airfares-vii-dli/,vi,1131000,11.750556,108.366997
không có ảnh: dùng logo hãng bay,Vé máy bay Nghệ An - Đà Nẵng,flight,route,Đà Nẵng,trip:route:vii-dad,https://vn.trip.com/flights/vinh-city-to-da-nang/airfares-vii-dad/,vi,1569000,16.0439,108.198997
không có ảnh: dùng logo hãng bay,Vé máy bay Nghệ An - Phú Quốc,flight,route,Phú Quốc,trip:route:vii-pqc,https://vn.trip.com/flights/vinh-city-to-phu-quoc-island/airfares-vii-pqc/,vi,1654000,10.169783,103.99353
không có ảnh: dùng logo hãng bay,Vé máy bay Đà Lạt - TP. Hồ Chí Minh,flight,route,TP. Hồ Chí Minh,trip:route:dli-sgn,https://vn.trip.com/flights/dalat-to-ho-chi-minh-city/airfares-dli-sgn/,vi,682000,10.8188,106.652
không có ảnh: dùng logo hãng bay,Vé máy bay Đà Lạt - Hà Nội,flight,route,Hà Nội,trip:route:dli-han,https://vn.trip.com/flights/dalat-to-hanoi/airfares-dli-han/,vi,872000,21.221201,105.806999
không có ảnh: dùng logo hãng bay,Vé máy bay Đà Lạt - Đà Nẵng,flight,route,Đà Nẵng,trip:route:dli-dad,https://vn.trip.com/flights/dalat-to-da-nang/airfares-dli-dad/,vi,879000,16.0439,108.198997
