issue,sourceRef,productId,name,taxonomy,destination,unitPrice,available
zero_price_available,vinpearl:tour:VW02308,0c98ee85-b8c0-5616-833b-414a2bd7b49f,[02 Người Lớn + 01 Trẻ Em] - Combo Vườn Thú + Khu Trò Chơi Vũ Yên + Tặng 01 Túi Tote,combo,Hải Phòng,0,True
detail_fallback,vinpearl:tour:VW02308,0c98ee85-b8c0-5616-833b-414a2bd7b49f,[02 Người Lớn + 01 Trẻ Em] - Combo Vườn Thú + Khu Trò Chơi Vũ Yên + Tặng 01 Túi Tote,combo,Hải Phòng,0,True
no_positive_price,vinpearl:tour:VW02287,b466e092-108b-542b-b03d-ce2b10fab738,[Combo Lãng Mạn Cho Cặp Đôi] - Vé Jjimjilbang tiêu chuẩn & Dịch vụ Spa cao cấp TẶNG 01 Bingsu,combo,Hà Nội,0,True
zero_price_available,vinpearl:tour:VW02287,b466e092-108b-542b-b03d-ce2b10fab738,[Combo Lãng Mạn Cho Cặp Đôi] - Vé Jjimjilbang tiêu chuẩn & Dịch vụ Spa cao cấp TẶNG 01 Bingsu,combo,Hà Nội,0,True
detail_fallback,vinpearl:tour:VW02287,b466e092-108b-542b-b03d-ce2b10fab738,[Combo Lãng Mạn Cho Cặp Đôi] - Vé Jjimjilbang tiêu chuẩn & Dịch vụ Spa cao cấp TẶNG 01 Bingsu,combo,Hà Nội,0,True
no_positive_price,vinpearl:tour:VW02277,9b42c4b1-1c39-5a6b-8e66-662152a316d2,[Combo Gia Đình Siêu Tiết Kiệm] - Combo Vé Xông hơi Jjimjilbang và Set Ẩm thực 200k chuẩn Hàn dành cho cả gia đình,combo,Hà Nội,0,True
zero_price_available,vinpearl:tour:VW02277,9b42c4b1-1c39-5a6b-8e66-662152a316d2,[Combo Gia Đình Siêu Tiết Kiệm] - Combo Vé Xông hơi Jjimjilbang và Set Ẩm thực 200k chuẩn Hàn dành cho cả gia đình,combo,Hà Nội,0,True
detail_fallback,vinpearl:tour:VW02277,9b42c4b1-1c39-5a6b-8e66-662152a316d2,[Combo Gia Đình Siêu Tiết Kiệm] - Combo Vé Xông hơi Jjimjilbang và Set Ẩm thực 200k chuẩn Hàn dành cho cả gia đình,combo,Hà Nội,0,True
description_under_80,vinpearl:tour:VW02277,9b42c4b1-1c39-5a6b-8e66-662152a316d2,[Combo Gia Đình Siêu Tiết Kiệm] - Combo Vé Xông hơi Jjimjilbang và Set Ẩm thực 200k chuẩn Hàn dành cho cả gia đình,combo,Hà Nội,0,True
no_positive_price,vinpearl:tour:VW02171,cfa73d80-0e6b-5559-86e9-87a422239b5c,[-20%] [Ưu đãi Học sinh - Sinh viên] - Combo 2 công viên Hòn Đảo Nhiệt Đới & Khu vườn Mộng mơ,combo,TP. Hồ Chí Minh,0,True
